 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.540   936  958 1116 BB    193887  15600228  15546688 100.00%  39.788%
  2  13.997  1253 1273 1316 BV 4    4244    331872    309633   1.99%   0.792%
  3  18.244  1530 1660 1810 BB     35035   5326702   5211412  33.52%  13.337%
  4  21.470  1870 1954 2120 BB 2   63281   5381136   5179378  33.31%  13.255%
  5  25.377  2283 2310 2407 PB 3   12573   1158518   1113951   7.17%   2.851%
 
  6  28.954  2500 2636 2787 BB     13802   3363334   3265412  21.00%   8.357%
  7  32.049  2884 2918 3011 BB 3    5889    710638    665659   4.28%   1.704%
  8  33.739  3047 3072 3131 BV 5    8532    676920    642608   4.13%   1.645%
  9  34.858  3131 3174 3264 PB 2    5756    972602    938344   6.04%   2.401%
 10  38.206  3454 3479 3561 BV 3    7802    949913    921664   5.93%   2.359%
 
 11  41.992  3561 3824 3954 PB 3    4651   2252499   2133948  13.73%   5.461%
 12  47.292  4291 4307 4418 PB 2    4450    584858    524317   3.37%   1.342%
 13  55.808  5018 5083 5155 BV 8    5019   1790258   1672221  10.76%   4.280%
 14  57.739  5235 5259 5302 VV 8    4927   1006756    948759   6.10%   2.428%
