 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.893   513  534  569 BV 2    4175    473189    322274   0.67%   0.178%
  2  10.557   936  959 1116 BV    759750  48614035  48109816 100.00%  26.579%
  3  12.412  1116 1128 1230 VB 4    6516   1209485    866778   1.80%   0.479%
  4  13.992  1250 1272 1363 BB 4   14532   2119156   1802655   3.75%   0.996%
  5  18.250  1620 1660 1843 BV    115560  23215567  22585180  46.95%  12.477%
 
  6  20.357  1843 1852 1920 VV 7    3754   1449353   1148300   2.39%   0.634%
  7  21.509  1920 1957 2123 VV    596599  43389130  42674944  88.70%  23.576%
  8  25.372  2283 2309 2356 BV    110071   8089809   7871897  16.36%   4.349%
  9  26.667  2414 2427 2467 VV 5   10478   1033060    854007   1.78%   0.472%
 10  28.390  2567 2584 2617 PV 5    6678   1156052   1004479   2.09%   0.555%
 
 11  28.950  2617 2635 2684 VV 3   48018   6730418   6513827  13.54%   3.599%
 12  29.597  2684 2694 2744 VV     15167   2694804   2378126   4.94%   1.314%
 13  30.365  2744 2764 2814 VV 8   11199   1748883   1499419   3.12%   0.828%
 14  31.331  2814 2852 2887 VV 7   10108   1575687   1321325   2.75%   0.730%
 15  32.044  2887 2917 2981 VV    152530  11863542  11561298  24.03%   6.387%
 
 16  32.878  2981 2993 3037 VV 2   11019   1289537   1088840   2.26%   0.602%
 17  33.701  3037 3068 3097 VV 8   11996   1895822   1703933   3.54%   0.941%
 18  34.832  3097 3171 3291 VV 3   35283   6143577   5500050  11.43%   3.039%
 19  37.103  3367 3378 3461 PV 9    5928    950413    641559   1.33%   0.354%
 20  38.201  3461 3478 3571 VV 4   16724   2768634   2406257   5.00%   1.329%
 
 21  39.408  3571 3588 3628 VV 10   13603   1412415   1239941   2.58%   0.685%
 22  40.868  3628 3721 3811 VV 5   16034   3603071   3000379   6.24%   1.658%
 23  42.689  3811 3887 4024 VV 5    8297   3633369   2949904   6.13%   1.630%
 24  44.632  4024 4064 4118 VV 10    3217    939154    648377   1.35%   0.358%
 25  45.817  4148 4172 4198 VV 10    8058    882440    702455   1.46%   0.388%
 
 26  46.245  4198 4211 4235 VV 8    8990    844072    716117   1.49%   0.396%
 27  46.684  4235 4251 4286 VV 8    5973   1114610    942000   1.96%   0.520%
 28  47.287  4286 4306 4408 PV 6    8315   1643444   1240878   2.58%   0.686%
 29  48.912  4408 4454 4501 VV 6    4268    918913    598991   1.25%   0.331%
 30  51.578  4605 4697 4728 BV 6    7306   1180773    696146   1.45%   0.385%
 
 31  54.179  4852 4934 4952 VV 6    4299   2006519   1585414   3.30%   0.876%
 32  54.914  4952 5001 5032 VV 6    4709   1975553   1583909   3.29%   0.875%
 33  55.386  5032 5044 5068 VV 6    4864    893353    687012   1.43%   0.380%
 34  55.979  5068 5098 5155 VV 6    3806   1532187   1114644   2.32%   0.616%
 35  57.010  5155 5192 5235 VV 6    5257   1841946   1446139   3.01%   0.799%
