 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.520   933  956 1100 BV    225838  16636586  16591128 100.00%  32.047%
  2  12.364  1100 1124 1240 VB 2   16082   2519500   2462455  14.84%   4.756%
  3  18.235  1633 1659 1923 BB 3   38147   9511924   9427574  56.82%  18.210%
  4  21.450  1923 1952 2080 BB     69530   6226446   6100631  36.77%  11.784%
  5  23.766  2143 2163 2237 BB 6    3475    530040    485000   2.92%   0.937%
 
  6  25.357  2283 2308 2394 BV     22683   1952135   1894051  11.42%   3.659%
  7  26.652  2394 2426 2500 VV 6    8577    882036    831440   5.01%   1.606%
  8  27.727  2500 2524 2564 VV 5    5299    444223    419356   2.53%   0.810%
  9  28.934  2564 2634 2800 PB 3   17515   3684687   3558083  21.45%   6.873%
 10  32.018  2877 2915 3031 BB 2    7873   1148941   1077927   6.50%   2.082%
 
 11  33.719  3034 3070 3117 BV 4   26154   2031009   1971235  11.88%   3.808%
 12  34.828  3117 3171 3254 PB 2    7059   1114051   1051339   6.34%   2.031%
 13  38.175  3311 3476 3554 BV 8    6814   1563238   1449179   8.73%   2.799%
 14  39.382  3554 3586 3654 VB 8   16109   1446278   1405564   8.47%   2.715%
 15  47.272  4021 4305 4345 BV 7    4091   1236023   1057200   6.37%   2.042%
 
 16  51.563  4631 4696 4721 BV 10    4724    472510    377168   2.27%   0.729%
 17  53.319  4721 4856 4895 PB 10    2391   1140951    914394   5.51%   1.766%
 18  54.866  4962 4997 5029 BV 10    4394    816480    697380   4.20%   1.347%
