 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.878   503  533  586 BV 2    4997    471910    315638   0.72%   0.238%
  2  10.531   933  957 1173 BB    687982  44186998  43654714 100.00%  32.982%
  3  13.977  1250 1271 1316 BV 3    3889    461840    325468   0.75%   0.246%
  4  18.235  1620 1659 1899 BV     93750  21530827  20891730  47.86%  15.784%
  5  21.472  1899 1954 2157 VB    437049  31308507  30588227  70.07%  23.110%
 
  6  25.357  2273 2308 2410 PV 2   83990   6553399   6218510  14.24%   4.698%
  7  26.641  2410 2425 2500 VV 5    9493   1139400    923281   2.11%   0.698%
  8  28.935  2574 2634 2754 BV     38273   5961464   5569069  12.76%   4.208%
  9  31.316  2801 2851 2877 VV 6    3350    665258    487795   1.12%   0.369%
 10  32.018  2877 2915 3051 PV     82114   7460719   7063617  16.18%   5.337%
 
 11  33.708  3051 3069 3117 VV      7401   1120639    971904   2.23%   0.734%
 12  34.466  3117 3138 3161 VV 3   12318   1087196    977300   2.24%   0.738%
 13  34.817  3161 3170 3267 VB 3   21947   2419774   2029941   4.65%   1.534%
 14  37.088  3357 3377 3431 BV 8    3818    462760    298596   0.68%   0.226%
 15  38.164  3431 3475 3571 PV 2   15941   2044854   1679661   3.85%   1.269%
 
 16  39.382  3571 3586 3616 PV 8   13470   1129277   1025959   2.35%   0.775%
 17  40.842  3616 3719 3811 VB 6    9087   1993502   1515269   3.47%   1.145%
 18  42.630  3838 3882 3958 BV 9    3564   1191727    915189   2.10%   0.691%
 19  47.261  4288 4304 4401 VB 6    5950   1108029    814376   1.87%   0.615%
 20  50.422  4421 4592 4612 BV 9    3518   1170111    670966   1.54%   0.507%
 
 21  51.585  4612 4698 4757 PV 9    5946   1769715   1381451   3.16%   1.044%
 22  54.877  4757 4998 5018 PV 9   10584   3584620   2838981   6.50%   2.145%
 23  55.393  5018 5045 5072 VV 9    5038    916936    705857   1.62%   0.533%
 24  57.314  5152 5220 5245 VV 9    1846    854363    494044   1.13%   0.373%
