 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.542   936  958 1090 BV    198961  17068828  17028270 100.00%  45.193%
  2  12.386  1090 1126 1250 VV 3   14382   2308125   2247304  13.20%   5.964%
  3  13.988  1250 1272 1353 VB 5    7142    846537    803173   4.72%   2.132%
  4  18.257  1636 1661 1767 BB 2   39760   5637131   5584075  32.79%  14.820%
  5  21.473  1923 1954 2057 BB 2   88520   6353821   6307705  37.04%  16.741%
 
  6  25.390  2289 2311 2407 PB 3   15188   1240177   1204870   7.08%   3.198%
  7  28.946  2500 2635 2687 BV 2   16445   1639788   1578361   9.27%   4.189%
  8  30.373  2744 2765 2860 BB 2    8298    597765    561795   3.30%   1.491%
  9  32.041  2897 2917 2981 BB 4    7994    734843    713542   4.19%   1.894%
 10  33.753  3047 3073 3121 BV 5    8158    606663    579077   3.40%   1.537%
 
 11  34.839  3121 3172 3211 PB 2    5721    537114    509365   2.99%   1.352%
 12  38.175  3454 3476 3557 BV 3    6710    590389    561627   3.30%   1.491%
