 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.530   876  957 1096 BV    296617  20501345  20352133 100.00%  29.341%
  2  12.385  1096 1126 1236 VB 2   15507   2555685   2440903  11.99%   3.519%
  3  15.710  1306 1429 1466 BV 10    5275    695043    543076   2.67%   0.783%
  4  18.256  1610 1661 1837 BB 2   31407   6485404   6282019  30.87%   9.056%
  5  21.471  1877 1954 2073 BB 2   72287   5993958   5717792  28.09%   8.243%
 
  6  25.378  2147 2310 2404 BB 3   17813   1676654   1391227   6.84%   2.006%
  7  27.748  2497 2526 2580 BV 6    4251    487146    404933   1.99%   0.584%
  8  28.955  2580 2636 2687 PV 3   11789   2198672   2107494  10.36%   3.038%
  9  29.669  2687 2701 2804 VB 3    3680   1489054   1275076   6.27%   1.838%
 10  32.050  2807 2918 2987 BB      6840   1004431    749772   3.68%   1.081%
 
 11  33.751  3047 3073 3124 BV 6   26981   2059733   2003265   9.84%   2.888%
 12  34.860  3124 3174 3304 VB 6    5480   1489082   1316483   6.47%   1.898%
 13  38.711  3361 3525 3578 BV 6    8882   3825591   3566304  17.52%   5.141%
 14  39.414  3578 3589 3741 PB 6    7876   2568978   2317776  11.39%   3.341%
 15  43.968  3978 4004 4081 BV 6    4391   1194587   1043152   5.13%   1.504%
 
 16  48.347  4348 4403 4461 PV 10   32405   5234698   5060246  24.86%   7.295%
 17  54.701  4738 4982 5012 VV 10    3774   3957775   3252163  15.98%   4.688%
 18  55.458  5012 5051 5072 VV 10    5545   1284869   1042918   5.12%   1.504%
 19  58.180  5072 5299 5384 VV 10   23406   8690228   7432273  36.52%  10.715%
 20  59.431  5384 5413 5460 PBA10    4298   1421879   1066193   5.24%   1.537%
