 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.561   926  960 1100 BB    124588   9158126   9027547 100.00%  23.891%
  2  12.426  1110 1130 1233 BB 4   10513   1633252   1515965  16.79%   4.012%
  3  14.028  1256 1276 1350 BV 5    4926    711522    641487   7.11%   1.698%
  4  15.740  1350 1432 1470 PV 5    9801   1181540   1075526  11.91%   2.846%
  5  18.286  1586 1664 1800 PB 2   21238   4205009   3993631  44.24%  10.569%
 
  6  21.513  1873 1958 2070 BB 3   26525   2722681   2455002  27.19%   6.497%
  7  25.408  2290 2313 2410 PB 3   12087   1294300   1164649  12.90%   3.082%
  8  27.779  2504 2529 2563 BV 7    9229    766867    714587   7.92%   1.891%
  9  28.975  2563 2638 2687 PV 3   10534   1339383   1231803  13.64%   3.260%
 10  33.771  3047 3075 3161 BV 3   61648   5391174   5273728  58.42%  13.956%
 
 11  34.868  3161 3175 3271 VB 4    4505    878736    753439   8.35%   1.994%
 12  38.193  3451 3478 3507 VV 4   11770   1041698    969274  10.74%   2.565%
 13  39.444  3574 3592 3638 PB 8   11268   1113864   1035590  11.47%   2.741%
 14  47.291  4291 4307 4329 VV 2   16898   1115296   1044100  11.57%   2.763%
 15  49.343  4465 4494 4535 PV 2    2713    648592    506302   5.61%   1.340%
 
 16  54.731  4591 4985 5013 VV 2    2622   3353868   2259595  25.03%   5.980%
 17  55.906  5013 5092 5165 VV 2    4919   3102219   2465335  27.31%   6.524%
 18  57.179  5165 5208 5285 VV 2    3369   1835053   1266363  14.03%   3.351%
 19  58.243  5285 5305 5328 VV 2    3110    610946    393168   4.36%   1.040%
