 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.562   921  960 1114 BV    113186  12258497  11590779 100.00%  37.269%
  2  12.417  1114 1129 1244 VB 7    7770   1919502   1470433  12.69%   4.728%
  3  18.287  1327 1664 1730 BV 3   11909   3996683   2765477  23.86%   8.892%
  4  28.984  2465 2639 2793 PV 3    8683   5890080   4684148  40.41%  15.061%
  5  38.256  3305 3484 3578 BV 3   10162   4415423   3416495  29.48%  10.985%
 
  6  39.528  3578 3600 3682 VB 3    4288   1398687    983840   8.49%   3.163%
  7  45.311  4011 4127 4214 BB 8    6442   2925006   2055277  17.73%   6.609%
  8  47.362  4288 4314 4367 BV 2    7824   1416924   1051904   9.08%   3.382%
  9  53.616  4834 4884 4950 PV 2    3916   2099863   1558411  13.45%   5.011%
 10  54.801  4974 4992 5040 VV 2    3335   1061554    760458   6.56%   2.445%
 
 11  55.537  5040 5059 5107 VV 2    5815   1084186    762970   6.58%   2.453%
