 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.596   805  963 1071 BV    100664  12128738  11049309 100.00%  28.458%
  2  12.451  1118 1132 1238 VB      4808   1488499    989973   8.96%   2.550%
  3  18.310  1411 1666 1764 BB 2   12010   4835777   3414712  30.90%   8.795%
  4  29.029  2513 2643 2816 BB 2    5839   4871417   3568266  32.29%   9.190%
  5  33.857  2879 3083 3145 BV 2    3991   1941149    739757   6.70%   1.905%
 
  6  38.268  3249 3485 3582 BV 5    8746   5328046   3888889  35.20%  10.016%
  7  39.541  3582 3601 3657 VV 5    7535   1801858   1461061  13.22%   3.763%
  8  42.690  3657 3888 4035 VV 5    7302   7175515   5411653  48.98%  13.938%
  9  45.367  4035 4132 4238 PB 5    3512   3094645   2136666  19.34%   5.503%
 10  47.386  4244 4316 4414 BB 7    7988   2556985   1756946  15.90%   4.525%
 
 11  53.256  4764 4851 4874 PV 7    3250   1731428   1190644  10.78%   3.067%
 12  53.705  4874 4892 4940 VV 7    3626   1466555   1064564   9.63%   2.742%
 13  54.792  4940 4991 5040 VV 7    4400   2164037   1606655  14.54%   4.138%
 14  55.560  5040 5061 5085 VV 7    4776    797505    548196   4.96%   1.412%
