 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.607   865  964 1094 BV     75861   8621610   7581554 100.00%  21.454%
  2  12.450  1094 1132 1238 PB 6    7572   2042857   1425386  18.80%   4.034%
  3  18.309  1324 1666 1864 BB 5   11083   7861213   5547711  73.17%  15.699%
  4  29.018  2450 2642 2745 BV 5    6011   3644902   2343475  30.91%   6.632%
  5  38.278  3322 3486 3575 BV 4    7889   3518079   2245316  29.62%   6.354%
 
  6  39.551  3575 3602 3708 VB 4    5154   1979471   1288991  17.00%   3.648%
  7  42.667  3708 3886 3988 BV 6    8590   5489976   4180273  55.14%  11.829%
  8  45.388  4038 4134 4211 PB 6    5040   2578886   1779231  23.47%   5.035%
  9  47.385  4238 4316 4374 BV 5    7373   2399204   1694697  22.35%   4.796%
 10  50.282  4470 4580 4600 PV 5    2425   2049365   1390115  18.34%   3.934%
 
 11  53.716  4767 4893 4917 PV 5    5550   4057726   3231419  42.62%   9.144%
 12  54.352  4917 4951 4972 VV 5    4023   1363532   1021721  13.48%   2.891%
 13  54.802  4972 4992 5043 VV 5    4444   1539031   1093058  14.42%   3.093%
 14  55.570  5043 5062 5087 VV 5    4134    761107    514959   6.79%   1.457%
