 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.638   946  967 1116 BV    201467  14394163  14278527 100.00%  26.499%
  2  18.374  1533 1672 1833 BB 3   19652   4491774   4243538  29.72%   7.875%
  3  21.601  1887 1966 2067 BB     37746   3775450   3531108  24.73%   6.553%
  4  25.508  2180 2322 2417 BB      8494   1108734    890452   6.24%   1.653%
  5  29.074  2517 2647 2814 BB 3   11566   3522538   3274324  22.93%   6.077%
 
  6  32.180  2907 2930 3017 BB 3    3617    523573    410451   2.87%   0.762%
  7  33.881  3061 3085 3131 BV 6   16003   1335788   1274339   8.92%   2.365%
  8  38.314  3364 3489 3518 BV 3   10478   1683961   1544238  10.82%   2.866%
  9  39.521  3518 3599 3721 VB 5   11703   4511594   4226106  29.60%   7.843%
 10  45.601  4054 4153 4221 BV 5    5589   3031292   2791434  19.55%   5.181%
 
 11  46.797  4221 4262 4289 VV 5    6124   1808239   1655311  11.59%   3.072%
 12  47.412  4289 4318 4375 VV 5    7259   2071005   1839167  12.88%   3.413%
 13  48.729  4375 4438 4484 VV 10   28721   5861181   5613218  39.31%  10.417%
 14  51.648  4568 4704 4741 VV 10    3683   1641743   1279069   8.96%   2.374%
 15  55.588  4741 5063 5088 PV 10    7207   4532625   3712841  26.00%   6.891%
 
 16  56.619  5088 5157 5212 VV 10    2681   1726633   1260694   8.83%   2.340%
 17  58.035  5212 5286 5355 VB 10    7519   2581101   2057970  14.41%   3.819%
