 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.541   936  958 1093 BB    177018  14643693  14551060 100.00%  37.371%
  2  18.267  1493 1662 1767 BB 3   21250   4595459   4399901  30.24%  11.300%
  3  21.493  1933 1956 2037 BB 2   45187   3969780   3893433  26.76%   9.999%
  4  25.389  2300 2311 2364 VB 3   10877    888458    836261   5.75%   2.148%
  5  27.759  2500 2527 2551 BV 5    4883    461232    428861   2.95%   1.101%
 
  6  28.966  2551 2637 2678 VV 2   10489   1416348   1310161   9.00%   3.365%
  7  32.061  2807 2919 2977 BB      5421    725578    620918   4.27%   1.595%
  8  33.762  3041 3074 3114 BV 3   25151   1935201   1879377  12.92%   4.827%
  9  34.849  3114 3173 3257 VB 2    4598    793285    689131   4.74%   1.770%
 10  38.185  3437 3477 3501 BV 4   10576    848727    810612   5.57%   2.082%
 
 11  39.436  3574 3591 3648 PV 8    6953    611086    548933   3.77%   1.410%
 12  54.690  4595 4981 5008 PV 8    3219   4546457   4069206  27.97%  10.451%
 13  55.359  5008 5042 5075 VV 8    6148   1634879   1447587   9.95%   3.718%
 14  56.149  5075 5114 5135 VV 8    2667    883530    705970   4.85%   1.813%
 15  57.883  5135 5272 5365 VV 8    2885   3436911   2745583  18.87%   7.051%
