 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.574   939  961 1106 BV    279196  19253823  19175693 100.00%  31.698%
  2  12.429  1106 1130 1246 VV 2   16306   2912019   2826683  14.74%   4.673%
  3  14.020  1246 1275 1373 VB 5    9010   1172314   1115402   5.82%   1.844%
  4  18.267  1530 1662 1843 BB 2   88275  13591645  13420829  69.99%  22.185%
  5  21.494  1880 1956 2063 BB    164579  11418476  11286947  58.86%  18.658%
 
  6  23.820  2147 2168 2243 BV 3    3978    383398    335795   1.75%   0.555%
  7  25.400  2289 2312 2410 PB     40873   3384915   3323351  17.33%   5.494%
  8  28.978  2507 2638 2740 BB 2   31584   4043934   3921496  20.45%   6.482%
  9  32.062  2884 2919 3014 BB 3   20665   1978142   1896738   9.89%   3.135%
 10  33.774  3054 3075 3124 BV 7   11432    828797    783257   4.08%   1.295%
 
 11  34.509  3124 3142 3157 PV 4    6280    439087    421957   2.20%   0.698%
 12  34.860  3157 3174 3277 VB     13407   1120043   1047939   5.46%   1.732%
 13  38.207  3344 3479 3551 BV     10775   1051372    939046   4.90%   1.552%
