 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.611   918  964 1061 PV     71991   7896030   7312209 100.00%  14.856%
  2  12.465  1061 1133 1201 VB 3    9485   2195885   1612475  22.05%   3.276%
  3  18.313  1361 1666 1750 BV 6   11770   5722762   3965727  54.23%   8.057%
  4  19.454  1750 1770 1953 VV 6    3045   3154525   2085899  28.53%   4.238%
  5  25.445  2100 2316 2376 BB 6    3169   3295329   1935350  26.47%   3.932%
 
  6  29.033  2460 2643 2826 BV 6    6360   6072617   4385267  59.97%   8.909%
  7  38.293  3219 3487 3582 BV 6    7889   4531060   2968942  40.60%   6.032%
  8  39.555  3582 3602 3705 VV 6    5997   2043697   1395473  19.08%   2.835%
  9  42.737  3705 3892 4064 PB 4   13907   8108135   6208802  84.91%  12.614%
 10  45.469  4068 4141 4191 BV 4    5677   2489657   1806720  24.71%   3.671%
 
 11  47.411  4268 4318 4386 BV 5    8145   2045838   1461451  19.99%   2.969%
 12  50.275  4386 4579 4650 VV 5    4752   3599928   2235000  30.57%   4.541%
 13  51.811  4650 4719 4770 VV 5    2741   1724943   1100237  15.05%   2.235%
 14  52.963  4770 4824 4864 PV 5    3489   1993703   1461757  19.99%   2.970%
 15  53.830  4864 4903 4937 VV 5    4033   2057913   1593636  21.79%   3.238%
 
 16  54.455  4937 4960 4976 VV 5    6605   1683880   1430831  19.57%   2.907%
 17  54.795  4976 4991 5027 VV 5    9396   2300089   1897706  25.95%   3.855%
 18  55.563  5027 5061 5087 VV 5    7410   2074281   1635313  22.36%   3.322%
 19  57.143  5173 5205 5296 VV 5    6557   3573927   2728012  37.31%   5.542%
