 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.544   936  958 1083 BB    248732  17237377  17180031 100.00%  42.664%
  2  14.001  1253 1273 1320 BV 5    5908    526336    494186   2.88%   1.227%
  3  18.259  1636 1661 1793 BB 2   41309   5740141   5635277  32.80%  13.994%
  4  21.485  1930 1955 2073 BB 2   58790   5214439   5137008  29.90%  12.757%
  5  25.392  2233 2311 2414 BB 2   15584   1370593   1292624   7.52%   3.210%
 
  6  28.970  2574 2637 2754 BB     13088   1569860   1482642   8.63%   3.682%
  7  32.064  2897 2919 3004 BB 2    4909    552763    489588   2.85%   1.216%
  8  33.765  3047 3074 3124 BV 4   20942   1569924   1533508   8.93%   3.808%
  9  34.863  3161 3174 3281 VB 3    4680    489681    433788   2.52%   1.077%
 10  38.210  3447 3479 3578 BV 3    6197   2101029   2037738  11.86%   5.060%
 
 11  39.439  3578 3591 3608 PV 7    7622    504550    490142   2.85%   1.217%
 12  54.715  4825 4983 5018 PV 7    2137   1311587   1148938   6.69%   2.853%
 13  55.340  5018 5040 5085 VV 9    6100   1137498   1060155   6.17%   2.633%
 14  57.799  5085 5264 5328 VB 9    4651   2218063   1852721  10.78%   4.601%
