 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.551   931  959 1094 BB    173237  15164152  14550584 100.00%  28.383%
  2  12.406  1108 1128 1238 BB 9    4686   1609634   1086191   7.46%   2.119%
  3  18.265  1587 1662 1767 VB 5   14025   3582171   2689549  18.48%   5.246%
  4  25.397  2296 2312 2343 PV 5    2912    549924    335369   2.30%   0.654%
  5  28.962  2486 2637 2816 BV 5    9375   6776154   5205016  35.77%  10.153%
 
  6  33.812  3036 3079 3119 BV 5    4984    947377    548159   3.77%   1.069%
  7  38.223  3425 3481 3515 VV 4   12296   3341300   2887004  19.84%   5.632%
  8  38.826  3515 3536 3582 VV 4    4770   1971078   1612971  11.09%   3.146%
  9  39.485  3582 3596 3705 VB 4    6241   2543256   1828568  12.57%   3.567%
 10  42.634  3745 3883 3985 BV 3   14123   7767593   6572787  45.17%  12.821%
 
 11  45.289  3985 4125 4168 PV 3    5486   2748012   1757672  12.08%   3.429%
 12  47.341  4224 4312 4431 PB 3   10776   3205056   2160387  14.85%   4.214%
 13  50.215  4437 4574 4600 BV 3    3124   2029390   1118112   7.68%   2.181%
 14  53.682  4600 4890 4916 VV 3    3861   5362018   3612045  24.82%   7.046%
 15  54.341  4916 4950 5013 VV 6    9494   3673386   3041395  20.90%   5.933%
 
 16  55.504  5013 5056 5127 VB 6    8209   2354855   1652168  11.35%   3.223%
 17  57.128  5177 5204 5253 BV 6    3666   1116281    606726   4.17%   1.184%
