 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.952   502  540  585 BV 6    3364   1155238    366406   1.36%   0.271%
  2  10.604   941  964 1124 BV    329110  28674488  26923716 100.00%  19.899%
  3  12.513  1124 1138 1248 VB 4    3567   1982615    775625   2.88%   0.573%
  4  14.060  1251 1279 1321 BV 5    4822   1186213    505906   1.88%   0.374%
  5  14.686  1321 1336 1407 VV 5    5814   1463052    621166   2.31%   0.459%
 
  6  15.772  1407 1435 1477 PV 2    5907   1221558    555494   2.06%   0.411%
  7  16.781  1477 1527 1587 PV 5    3594   1467812    406949   1.51%   0.301%
  8  18.306  1650 1666 1804 VV 2   43476   9730774   8266406  30.70%   6.110%
  9  19.930  1804 1814 1844 VV 4    5294   1032240    620922   2.31%   0.459%
 10  20.435  1844 1860 1927 VV 2   13887   2709254   1875472   6.97%   1.386%
 
 11  21.543  1927 1961 2103 VB    199175  17272322  15523656  57.66%  11.474%
 12  25.449  2300 2317 2360 VV 2   20137   2084148   1494873   5.55%   1.105%
 13  26.755  2412 2436 2493 VV 6   12819   2553043   1754431   6.52%   1.297%
 14  27.830  2493 2534 2597 VV 6   12911   2844723   1832523   6.81%   1.354%
 15  29.015  2597 2642 2693 VV 4   22940   4429164   3488584  12.96%   2.578%
 
 16  30.046  2693 2736 2759 VV 4    8808   2527218   1830958   6.80%   1.353%
 17  30.639  2759 2790 2813 VV 4   45586   5613267   5062266  18.80%   3.742%
 18  31.418  2813 2861 2896 VV 2   69561   8574488   7689918  28.56%   5.684%
 19  32.559  2896 2965 2989 VV 3   56787  10370855   9365287  34.78%   6.922%
 20  32.965  2989 3002 3056 VV     62783   6912102   6195499  23.01%   4.579%
 
 21  33.766  3056 3075 3105 VV 4   51293   7137617   6610517  24.55%   4.886%
 22  34.940  3105 3182 3242 VV 10   16220   8099754   6610143  24.55%   4.886%
 23  35.763  3242 3257 3305 VV 8    8493   2422701   1744421   6.48%   1.289%
 24  36.421  3305 3317 3349 VV 3    8193   1412484    974913   3.62%   0.721%
 25  38.286  3409 3487 3511 VV     20979   4017261   2990168  11.11%   2.210%
 
 26  38.758  3511 3530 3578 VV      6066   2447379   1722712   6.40%   1.273%
 27  39.504  3578 3598 3635 VV 3   34257   3563077   2992155  11.11%   2.212%
 28  40.272  3635 3668 3690 VV 6    6572   1334731    776441   2.88%   0.574%
 29  40.931  3690 3728 3835 VV 6    3836   2756377   1303245   4.84%   0.963%
 30  42.840  3883 3902 4041 VV 10    7683   3816336   2240627   8.32%   1.656%
 
 31  44.749  4041 4076 4120 PV 10    6425   1935109   1150799   4.27%   0.851%
 32  45.418  4120 4137 4164 VV 5    6585   1076965    638023   2.37%   0.472%
 33  46.351  4164 4222 4244 VV 5   24074   4156485   3359711  12.48%   2.483%
 34  46.790  4244 4262 4296 VV 6   15848   2644564   2135071   7.93%   1.578%
 35  47.393  4296 4317 4338 VV 3   12751   1741333   1328825   4.94%   0.982%
 
 36  47.755  4338 4350 4444 VV 4    6779   2580587   1517680   5.64%   1.122%
 37  50.246  4524 4577 4617 VV 8    5695   1829335    903754   3.36%   0.668%
 38  51.694  4663 4709 4750 VV 9    5541   1525772    680839   2.53%   0.503%
 39  55.556  5020 5061 5083 VV 3    4663   1071194    463446   1.72%   0.343%
